number,code,price
61663,X,2600
61664,X,2600
61671,X,2600
61676,X,2600
61691,X,2600
61766,X,2600
61966,X,2600
62116,X,2600
62122,X,2600
62206,X,2600
62661,X,2600
63133,X,2600
63166,X,2600
64144,X,2600
64406,X,2600
64544,X,2600
64661,X,2600
65043,X,2600
65155,X,2600
65161,X,2600
65166,X,2600
65455,X,2600
65504,X,2600
65516,X,2600
65616,X,2600
65664,X,2600
65755,X,2600
66136,X,2600
66216,X,2600
66316,X,2600
66465,X,2600
66564,X,2600
66576,X,2600
66756,X,2600
67161,X,2600
67166,X,2600
67577,X,2600
67616,X,2600
67708,X,2600
67716,X,2600
68661,X,2600
68667,X,2600
68788,X,2600
68806,X,2600
69662,X,2600
69664,X,2600
69665,X,2600
70227,X,2600
70272,X,2600
70373,X,2600
70447,X,2600
70474,X,2600
70557,X,2600
70575,X,2600
70665,X,2600
70740,X,2600
70790,X,2600
71167,X,2600
71615,X,2600
71667,X,2600
71677,X,2600
71761,X,2600
71767,X,2600
71773,X,2600
71774,X,2600
71779,X,2600
71781,X,2600
71787,X,2600
71877,X,2600
71887,X,2600
72117,X,2600
72122,X,2600
72207,X,2600
72707,X,2600
72771,X,2600
73133,X,2600
73307,X,2600
73707,X,2600
73771,X,2600
74117,X,2600
74144,X,2600
74407,X,2600
74771,X,2600
75117,X,2600
75155,X,2600
75507,X,2600
75655,X,2600
76054,X,2600
76166,X,2600
76171,X,2600
76177,X,2600
76566,X,2600
76605,X,2600
76617,X,2600
76717,X,2600
76866,X,2600
77127,X,2600
77217,X,2600
77271,X,2600
77657,X,2600
78171,X,2600
78188,X,2600
78717,X,2600
79117,X,2600
79199,X,2600
79877,X,2600
79907,X,2600
80228,X,2600
80338,X,2600
80448,X,2600
80558,X,2600
80820,X,2600
80840,X,2600
80860,X,2600
81128,X,2600
81148,X,2600
81716,X,2600
81778,X,2600
81788,X,2600
81871,X,2600
81884,X,2600
81891,X,2600
82118,X,2600
82122,X,2600
82188,X,2600
82208,X,2600
82218,X,2600
82808,X,2600
82881,X,2600
83133,X,2600
83881,X,2600
84118,X,2600
84144,X,2600
84408,X,2600
84808,X,2600
84881,X,2600
85118,X,2600
85155,X,2600
85508,X,2600
85808,X,2600
86118,X,2600
86766,X,2600
87065,X,2600
87181,X,2600
87188,X,2600
87706,X,2600
87718,X,2600
87817,X,2600
87977,X,2600
88128,X,2600
88183,X,2600
88184,X,2600
88185,X,2600
88218,X,2600
88281,X,2600
88381,X,2600
88481,X,2600
88581,X,2600
88681,X,2600
88687,X,2600
88981,X,2600
89181,X,2600
89819,X,2600
90339,X,2600
90449,X,2600
90559,X,2600
90920,X,2600
90930,X,2600
90940,X,2600
90950,X,2600
91699,X,2600
91889,X,2600
91899,X,2600
91961,X,2600
91997,X,2600
92199,X,2600
92209,X,2600
92909,X,2600
93133,X,2600
93309,X,2600
93909,X,2600
93991,X,2600
94119,X,2600
94144,X,2600
94409,X,2600
94909,X,2600
95119,X,2600
95155,X,2600
95509,X,2600
95991,X,2600
96199,X,2600
96916,X,2600
96991,X,2600
97177,X,2600
97709,X,2600
97877,X,2600
97909,X,2600
97991,X,2600
98191,X,2600
98199,X,2600
98807,X,2600
99193,X,2600
99194,X,2600
99197,X,2600
99291,X,2600
99391,X,2600
99491,X,2600
99591,X,2600
99791,X,2600
29949,G,2400
33626,G,2400
33727,G,2400
33767,G,2400
33797,G,2400
33828,G,2400
33878,G,2400
33959,G,2400
44252,G,2400
44282,G,2400
44585,G,2400
44636,G,2400
55262,G,2400
55292,G,2400
55737,G,2400
62242,G,2400
64474,G,2400
66232,G,2400
66484,G,2400
77343,G,2400
77494,G,2400
77525,G,2400
88595,G,2400
99373,G,2400
33525,I,2400
33767,I,2400
33979,I,2400
42262,I,2400
44272,I,2400
